[2026-06-13 00:03:09.346] 模拟丢包：来自 ('192.168.169.1', 52096) seq=17
[2026-06-13 00:03:09.347] 模拟丢包：来自 ('192.168.169.1', 52096) seq=19
[2026-06-13 00:03:09.347] 模拟丢包：来自 ('192.168.169.1', 52096) seq=18
[2026-06-13 00:03:09.673] 收到数据 seq=12, len=40
[2026-06-13 00:03:09.676] 收到数据 seq=13, len=44
[2026-06-13 00:03:09.676] 收到乱序 seq=14, 期望 13
[2026-06-13 00:03:09.676] 收到乱序 seq=15, 期望 13
[2026-06-13 00:03:09.677] 收到乱序 seq=16, 期望 13
[2026-06-13 00:03:09.680] 模拟丢包：来自 ('192.168.169.1', 52096) seq=17
[2026-06-13 00:03:09.685] 收到乱序 seq=19, 期望 14
[2026-06-13 00:03:09.685] 模拟丢包：来自 ('192.168.169.1', 52096) seq=20
[2026-06-13 00:03:09.684] 收到乱序 seq=18, 期望 14
[2026-06-13 00:03:10.005] 收到数据 seq=14, len=65
[2026-06-13 00:03:10.006] 收到乱序 seq=15, 期望 14
[2026-06-13 00:03:10.007] 收到乱序 seq=17, 期望 14
[2026-06-13 00:03:10.008] 收到乱序 seq=16, 期望 14
[2026-06-13 00:03:10.011] 收到乱序 seq=18, 期望 14
[2026-06-13 00:03:10.011] 收到乱序 seq=20, 期望 15
[2026-06-13 00:03:10.012] 收到乱序 seq=19, 期望 15
[2026-06-13 00:03:10.012] 模拟丢包：来自 ('192.168.169.1', 52096) seq=21
[2026-06-13 00:03:10.323] 收到数据 seq=15, len=63
[2026-06-13 00:03:10.324] 收到乱序 seq=16, 期望 15
[2026-06-13 00:03:10.324] 收到乱序 seq=17, 期望 16
[2026-06-13 00:03:10.326] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=18
[2026-06-13 00:03:10.327] 模拟丢包：来自 ('192.168.169.1', 52096) seq=21
[2026-06-13 00:03:10.327] 收到乱序 seq=19, 期望 16
[2026-06-13 00:03:10.326] 模拟丢包：来自 ('192.168.169.1', 52096) seq=20
[2026-06-13 00:03:10.329] 收到乱序 seq=22, 期望 16
[2026-06-13 00:03:10.656] 收到数据 seq=16, len=62
[2026-06-13 00:03:10.659] 收到乱序 seq=17, 期望 16
[2026-06-13 00:03:10.660] 收到乱序 seq=18, 期望 17
[2026-06-13 00:03:10.661] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=19
[2026-06-13 00:03:10.661] 模拟丢包：来自 ('192.168.169.1', 52096) seq=20
[2026-06-13 00:03:10.666] 模拟丢包：来自 ('192.168.169.1', 52096) seq=21
[2026-06-13 00:03:10.672] 收到乱序 seq=22, 期望 17
[2026-06-13 00:03:10.672] 模拟丢包：来自 ('192.168.169.1', 52096) seq=23
[2026-06-13 00:03:11.001] 收到数据 seq=17, len=47
[2026-06-13 00:03:11.002] 收到乱序 seq=18, 期望 17
[2026-06-13 00:03:11.002] 收到乱序 seq=19, 期望 17
[2026-06-13 00:03:11.002] 收到乱序 seq=20, 期望 17
[2026-06-13 00:03:11.005] 收到乱序 seq=21, 期望 18
[2026-06-13 00:03:11.007] 收到乱序 seq=22, 期望 18
[2026-06-13 00:03:11.009] 收到乱序 seq=23, 期望 18
[2026-06-13 00:03:11.010] 收到乱序 seq=24, 期望 18
[2026-06-13 00:03:11.326] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=18
[2026-06-13 00:03:11.327] 收到乱序 seq=19, 期望 18
[2026-06-13 00:03:11.327] 收到乱序 seq=20, 期望 18
[2026-06-13 00:03:11.329] 收到乱序 seq=21, 期望 18
[2026-06-13 00:03:11.330] 收到乱序 seq=22, 期望 18
[2026-06-13 00:03:11.332] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=23
[2026-06-13 00:03:11.332] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=24
[2026-06-13 00:03:11.648] 收到数据 seq=18, len=66
[2026-06-13 00:03:11.649] 收到乱序 seq=19, 期望 18
[2026-06-13 00:03:11.649] 收到乱序 seq=20, 期望 18
[2026-06-13 00:03:11.652] 模拟丢包：来自 ('192.168.169.1', 52096) seq=21
[2026-06-13 00:03:11.653] 收到乱序 seq=22, 期望 19
[2026-06-13 00:03:11.653] 收到乱序 seq=23, 期望 19
[2026-06-13 00:03:11.654] 收到乱序 seq=25, 期望 19
[2026-06-13 00:03:11.655] 模拟丢包：来自 ('192.168.169.1', 52096) seq=24
[2026-06-13 00:03:11.972] 收到数据 seq=19, len=76
[2026-06-13 00:03:11.975] 收到乱序 seq=21, 期望 19
[2026-06-13 00:03:11.976] 收到乱序 seq=20, 期望 19
[2026-06-13 00:03:11.976] 收到乱序 seq=22, 期望 19
[2026-06-13 00:03:11.976] 收到乱序 seq=25, 期望 20
[2026-06-13 00:03:11.977] 模拟丢包：来自 ('192.168.169.1', 52096) seq=26
[2026-06-13 00:03:11.981] 收到乱序 seq=23, 期望 19
[2026-06-13 00:03:11.981] 收到乱序 seq=24, 期望 20
[2026-06-13 00:03:12.298] 收到数据 seq=20, len=51
[2026-06-13 00:03:12.298] 收到乱序 seq=21, 期望 20
[2026-06-13 00:03:12.299] 收到乱序 seq=22, 期望 20
[2026-06-13 00:03:12.300] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=23
[2026-06-13 00:03:12.300] 收到乱序 seq=25, 期望 21
[2026-06-13 00:03:12.301] 收到乱序 seq=26, 期望 21
[2026-06-13 00:03:12.305] 收到乱序 seq=24, 期望 20
[2026-06-13 00:03:12.305] 模拟丢包：来自 ('192.168.169.1', 52096) seq=27
[2026-06-13 00:03:12.619] 收到数据 seq=21, len=80
[2026-06-13 00:03:12.623] 模拟丢包：来自 ('192.168.169.1', 52096) seq=22
[2026-06-13 00:03:12.623] 收到乱序 seq=25, 期望 22
[2026-06-13 00:03:12.624] 收到乱序 seq=27, 期望 22
[2026-06-13 00:03:12.624] 收到乱序 seq=23, 期望 21
[2026-06-13 00:03:12.624] 收到乱序 seq=26, 期望 22
[2026-06-13 00:03:12.624] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=24
[2026-06-13 00:03:12.625] 收到乱序 seq=29, 期望 22
[2026-06-13 00:03:12.625] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=28
[2026-06-13 00:03:12.964] 收到数据 seq=22, len=51
[2026-06-13 00:03:12.967] 收到乱序 seq=25, 期望 22
[2026-06-13 00:03:12.966] 收到乱序 seq=24, 期望 22
[2026-06-13 00:03:12.965] 收到乱序 seq=23, 期望 22
[2026-06-13 00:03:12.969] 收到乱序 seq=26, 期望 23
[2026-06-13 00:03:12.972] 收到乱序 seq=27, 期望 23
[2026-06-13 00:03:12.973] 模拟丢包：来自 ('192.168.169.1', 52096) seq=29
[2026-06-13 00:03:12.973] 收到乱序 seq=28, 期望 23
[2026-06-13 00:03:12.974] 模拟丢包：来自 ('192.168.169.1', 52096) seq=30
[2026-06-13 00:03:13.285] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=23
[2026-06-13 00:03:13.287] 收到乱序 seq=24, 期望 23
[2026-06-13 00:03:13.288] 收到乱序 seq=25, 期望 23
[2026-06-13 00:03:13.288] 收到乱序 seq=26, 期望 23
[2026-06-13 00:03:13.289] 收到乱序 seq=28, 期望 23
